,id,created_at,gst_amount,usdc_amount
0,1,2022-02-15 00:01:04,499369,1316596
0,2,2022-02-15 00:02:02,499358,1316625
0,3,2022-02-15 00:03:02,499146,1317188
0,4,2022-02-15 00:04:03,499241,1316938
0,5,2022-02-15 00:05:02,500436,1313800
0,6,2022-02-15 00:06:08,500271,1314236
0,7,2022-02-15 00:07:02,500271,1314236
0,8,2022-02-15 00:08:02,500271,1314236
0,9,2022-02-15 00:09:02,500773,1312923
0,10,2022-02-15 00:10:10,501011,1312307
0,11,2022-02-15 00:11:02,501011,1312307
0,12,2022-02-15 00:12:03,502202,1309205
0,13,2022-02-15 00:13:02,502158,1309320
0,14,2022-02-15 00:14:01,502769,1307732
0,15,2022-02-15 00:15:04,502661,1308015
0,16,2022-02-15 00:16:02,502456,1308549
0,17,2022-02-15 00:17:04,502466,1308523
0,18,2022-02-15 00:18:03,502494,1308451
0,19,2022-02-15 00:19:03,502474,1308504
0,20,2022-02-15 00:20:02,502048,1309619
0,21,2022-02-15 00:21:04,501744,1310414
0,22,2022-02-15 00:22:02,501707,1310511
0,23,2022-02-15 00:23:03,501847,1310146
0,24,2022-02-15 00:24:02,501734,1310445
0,25,2022-02-15 00:25:01,501482,1311105
0,26,2022-02-15 00:26:02,501732,1310454
0,27,2022-02-15 00:27:02,501732,1310454
0,28,2022-02-15 00:28:04,501878,1310073
0,29,2022-02-15 00:29:02,501876,1310078
0,30,2022-02-15 00:30:02,501846,1310157
0,31,2022-02-15 00:31:01,500997,1312383
0,32,2022-02-15 00:32:02,501599,1310812
0,33,2022-02-15 00:33:02,502028,1309697
0,34,2022-02-15 00:34:02,501766,1310381
0,35,2022-02-15 00:35:02,501766,1310382
0,36,2022-02-15 00:36:02,501399,1311357
0,37,2022-02-15 00:37:02,501449,1311228
0,38,2022-02-15 00:38:02,501449,1311228
0,39,2022-02-15 00:39:08,501084,1312187
0,40,2022-02-15 00:40:02,501976,1309862
0,41,2022-02-15 00:41:01,503126,1306876
0,42,2022-02-15 00:42:01,504012,1304587
0,43,2022-02-15 00:43:02,504012,1304587
0,44,2022-02-15 00:44:07,503680,1305449
0,45,2022-02-15 00:45:02,503681,1305446
0,46,2022-02-15 00:46:02,503676,1305459
0,47,2022-02-15 00:47:02,503676,1305459
0,48,2022-02-15 00:48:02,503654,1305516
0,49,2022-02-15 00:49:06,503654,1305516
0,50,2022-02-15 00:50:02,503654,1305516
0,51,2022-02-15 00:51:02,503668,1305479
0,52,2022-02-15 00:52:02,503668,1305479
0,53,2022-02-15 00:53:02,503668,1305479
0,54,2022-02-15 00:54:02,503668,1305479
0,55,2022-02-15 00:55:02,503465,1306009
0,56,2022-02-15 00:56:03,503476,1305979
0,57,2022-02-15 00:57:06,503480,1305969
0,58,2022-02-15 00:58:02,503480,1305969
0,59,2022-02-15 00:59:03,499145,1317347
0,60,2022-02-15 01:00:03,499145,1317347
0,61,2022-02-15 01:01:05,499155,1317321
0,62,2022-02-15 01:02:02,499155,1317321
0,63,2022-02-15 01:03:03,499083,1317514
0,64,2022-02-15 01:04:02,501143,1312112
0,65,2022-02-15 01:05:02,501138,1312126
0,66,2022-02-15 01:06:04,501412,1311417
0,67,2022-02-15 01:07:03,502056,1309740
0,68,2022-02-15 01:08:10,502764,1307899
0,69,2022-02-15 01:09:02,502524,1308526
0,70,2022-02-15 01:10:02,502813,1307782
0,71,2022-02-15 01:11:02,502671,1308154
0,72,2022-02-15 01:12:02,503223,1306723
0,73,2022-02-15 01:13:03,503236,1306690
0,74,2022-02-15 01:14:02,503208,1306764
